Tiempo,     x,      u(x)
0.3, 0.612245, 4.13476
0.3, 0.632653, 3.78412
0.3, 0.653061, 3.40802
0.3, 0.673469, 3.02045
0.3, 0.693878, 2.63443
0.3, 0.714286, 2.26128
0.3, 0.734694, 1.91025
0.3, 0.755102, 1.58819
0.3, 0.77551, 1.29954
0.3, 0.795918, 1.0465
0.3, 0.816327, 0.829283
0.3, 0.836735, 0.646466
0.3, 0.857143, 0.495412
0.3, 0.877551, 0.37264
0.3, 0.897959, 0.274166
0.3, 0.918367, 0.195784
0.3, 0.938776, 0.133256
0.3, 0.959184, 0.0824352
0.3, 0.979592, 0.0393116
0.3, 1, 0
0.4, 0, 0
0.4, 0.0204082, 0.0353499
0.4, 0.0408163, 0.0739242
0.4, 0.0612245, 0.119009
0.4, 0.0816327, 0.173997
0.4, 0.102041, 0.242405
0.4, 0.122449, 0.327846
0.4, 0.142857, 0.433949
0.4, 0.163265, 0.564218
0.4, 0.183673, 0.721831
0.4, 0.204082, 0.909382
0.4, 0.22449, 1.12859
0.4, 0.244898, 1.37996
0.4, 0.265306, 1.6625
0.4, 0.285714, 1.97347
0.4, 0.306122, 2.30814
0.4, 0.326531, 2.65982
0.4, 0.346939, 3.01987
0.4, 0.367347, 3.37803
0.4, 0.387755, 3.72278
0.4, 0.408163, 4.04196
0.4, 0.428571, 4.32345
0.4, 0.44898, 4.55594
0.4, 0.469388, 4.72965
0.4, 0.489796, 4.83705
0.4, 0.510204, 4.87339
0.4, 0.530612, 4.83705
0.4, 0.55102, 4.72965
0.4, 0.571429, 4.55593
0.4, 0.591837, 4.32345
0.4, 0.612245, 4.04195
0.4, 0.632653, 3.72277
0.4, 0.653061, 3.37802
0.4, 0.673469, 3.01985
0.4, 0.693878, 2.65977
0.4, 0.714286, 2.30806
0.4, 0.734694, 1.97332
0.4, 0.755102, 1.66227
0.4, 0.77551, 1.37957
0.4, 0.795918, 1.12796
0.4, 0.816327, 0.908374
0.4, 0.836735, 0.720243
0.4, 0.857143, 0.561753
0.4, 0.877551, 0.430177
0.4, 0.897959, 0.322158
0.4, 0.918367, 0.233954
0.4, 0.938776, 0.16163
0.4, 0.959184, 0.101185
0.4, 0.979592, 0.0486275
0.4, 1, 0
0.5, 0, 0
0.5, 0.0204082, 0.0432335
0.5, 0.0408163, 0.0897968
0.5, 0.0612245, 0.143046
0.5, 0.0816327, 0.206379
0.5, 0.102041, 0.283219
0.5, 0.122449, 0.376971
0.5, 0.142857, 0.490927
0.5, 0.163265, 0.628124
0.5, 0.183673, 0.791164
0.5, 0.204082, 0.981988
0.5, 0.22449, 1.20163
0.5, 0.244898, 1.44995
0.5, 0.265306, 1.72544
0.5, 0.285714, 2.025
0.5, 0.306122, 2.34386
0.5, 0.326531, 2.67557
0.5, 0.346939, 3.01212
0.5, 0.367347, 3.34422
0.5, 0.387755, 3.66163
0.5, 0.408163, 3.95374
