Tiempo,     x,      u(x)
0.3, 0.653061, 19.3639
0.3, 0.673469, 19.1355
0.3, 0.693878, 18.8405
0.3, 0.714286, 18.4655
0.3, 0.734694, 17.9966
0.3, 0.755102, 17.4194
0.3, 0.77551, 16.7199
0.3, 0.795918, 15.8859
0.3, 0.816327, 14.9069
0.3, 0.836735, 13.776
0.3, 0.857143, 12.4902
0.3, 0.877551, 11.0516
0.3, 0.897959, 9.46753
0.3, 0.918367, 7.75097
0.3, 0.938776, 5.92046
0.3, 0.959184, 3.99953
0.3, 0.979592, 2.01584
0.3, 1, 0
0.4, 0, 0
0.4, 0.0204082, 1.94278
0.4, 0.0408163, 3.85678
0.4, 0.0612245, 5.7145
0.4, 0.0816327, 7.49089
0.4, 0.102041, 9.16439
0.4, 0.122449, 10.7176
0.4, 0.142857, 12.138
0.4, 0.163265, 13.4176
0.4, 0.183673, 14.5535
0.4, 0.204082, 15.547
0.4, 0.22449, 16.4031
0.4, 0.244898, 17.13
0.4, 0.265306, 17.7382
0.4, 0.285714, 18.2395
0.4, 0.306122, 18.6467
0.4, 0.326531, 18.9724
0.4, 0.346939, 19.229
0.4, 0.367347, 19.4279
0.4, 0.387755, 19.5793
0.4, 0.408163, 19.6921
0.4, 0.428571, 19.7735
0.4, 0.44898, 19.8295
0.4, 0.469388, 19.8645
0.4, 0.489796, 19.8812
0.4, 0.510204, 19.8812
0.4, 0.530612, 19.8645
0.4, 0.55102, 19.8295
0.4, 0.571429, 19.7735
0.4, 0.591837, 19.6921
0.4, 0.612245, 19.5793
0.4, 0.632653, 19.4279
0.4, 0.653061, 19.229
0.4, 0.673469, 18.9724
0.4, 0.693878, 18.6467
0.4, 0.714286, 18.2395
0.4, 0.734694, 17.7382
0.4, 0.755102, 17.13
0.4, 0.77551, 16.4031
0.4, 0.795918, 15.547
0.4, 0.816327, 14.5535
0.4, 0.836735, 13.4176
0.4, 0.857143, 12.138
0.4, 0.877551, 10.7176
0.4, 0.897959, 9.16439
0.4, 0.918367, 7.49089
0.4, 0.938776, 5.7145
0.4, 0.959184, 3.85678
0.4, 0.979592, 1.94278
0.4, 1, 0
0.5, 0, 0
0.5, 0.0204082, 1.87713
0.5, 0.0408163, 3.72829
0.5, 0.0612245, 5.52861
0.5, 0.0816327, 7.25528
0.5, 0.102041, 8.88843
0.5, 0.122449, 10.4118
0.5, 0.142857, 11.8132
0.5, 0.163265, 13.0845
0.5, 0.183673, 14.222
0.5, 0.204082, 15.2258
0.5, 0.22449, 16.0994
0.5, 0.244898, 16.8492
