Tiempo,     x,      u(x)
0.3, 0.653061, 8.53684
0.3, 0.673469, 7.02781
0.3, 0.693878, 5.7113
0.3, 0.714286, 4.58104
0.3, 0.734694, 3.62608
0.3, 0.755102, 2.83199
0.3, 0.77551, 2.18205
0.3, 0.795918, 1.65841
0.3, 0.816327, 1.24306
0.3, 0.836735, 0.918622
0.3, 0.857143, 0.668919
0.3, 0.877551, 0.47936
0.3, 0.897959, 0.337103
0.3, 0.918367, 0.231077
0.3, 0.938776, 0.151848
0.3, 0.959184, 0.0913991
0.3, 0.979592, 0.0428277
0.3, 1, 0
0.4, 0, 0
0.4, 0.0204082, 4.79925
0.4, 0.0408163, 9.51991
0.4, 0.0612245, 14.0862
0.4, 0.0816327, 18.4279
0.4, 0.102041, 22.4824
0.4, 0.122449, 26.1964
0.4, 0.142857, 29.527
0.4, 0.163265, 32.4419
0.4, 0.183673, 34.9195
0.4, 0.204082, 36.9477
0.4, 0.22449, 38.5233
0.4, 0.244898, 39.6505
0.4, 0.265306, 40.3398
0.4, 0.285714, 40.6067
0.4, 0.306122, 40.4713
0.4, 0.326531, 39.957
0.4, 0.346939, 39.0907
0.4, 0.367347, 37.9022
0.4, 0.387755, 36.4245
0.4, 0.408163, 34.6934
0.4, 0.428571, 32.7475
0.4, 0.44898, 30.628
0.4, 0.469388, 28.3778
0.4, 0.489796, 26.0411
0.4, 0.510204, 23.662
0.4, 0.530612, 21.2834
0.4, 0.55102, 18.9458
0.4, 0.571429, 16.6863
0.4, 0.591837, 14.5368
0.4, 0.612245, 12.5238
0.4, 0.632653, 10.6676
0.4, 0.653061, 8.98188
0.4, 0.673469, 7.47401
0.4, 0.693878, 6.14536
0.4, 0.714286, 4.99203
0.4, 0.734694, 4.00567
0.4, 0.755102, 3.17454
0.4, 0.77551, 2.48444
0.4, 0.795918, 1.91977
0.4, 0.816327, 1.46433
0.4, 0.836735, 1.10215
0.4, 0.857143, 0.817965
0.4, 0.877551, 0.597673
0.4, 0.897959, 0.428543
0.4, 0.918367, 0.299287
0.4, 0.938776, 0.200008
0.4, 0.959184, 0.122039
0.4, 0.979592, 0.0577
0.4, 1, 0
0.5, 0, 0
0.5, 0.0204082, 4.61821
0.5, 0.0408163, 9.16408
0.5, 0.0612245, 13.5677
0.5, 0.0816327, 17.7636
0.5, 0.102041, 21.6931
0.5, 0.122449, 25.3051
0.5, 0.142857, 28.5579
0.5, 0.163265, 31.4189
0.5, 0.183673, 33.8651
0.5, 0.204082, 35.8823
0.5, 0.22449, 37.4648
0.5, 0.244898, 38.6142
0.5, 0.265306, 39.3385
0.5, 0.285714, 39.6515
0.5, 0.306122, 39.5714
0.5, 0.326531, 39.1208
0.5, 0.346939, 38.3258
0.5, 0.367347, 37.216
0.5, 0.387755, 35.8237
0.5, 0.408163, 34.1843
0.5, 0.428571, 32.3355
0.5, 0.44898, 30.317
0.5, 0.469388, 28.1698
0.5, 0.489796, 25.9358
0.5, 0.510204, 23.6564
0.5, 0.530612, 21.3718
0.5, 0.55102, 19.1199
0.5, 0.571429, 16.935
0.5, 0.591837, 14.8475
0.5, 0.612245, 12.8824
0.5, 0.632653, 11.0594
0.5, 0.653061, 9.39241
0.5, 0.673469, 7.88965
0.5, 0.693878, 6.55393
0.5, 0.714286, 5.38323
0.5, 0.734694, 4.37139
0.5, 0.755102, 3.50887
0.5, 0.77551, 2.78369
0.5, 0.795918, 2.18222
0.5, 0.816327, 1.68998
0.5, 0.836735, 1.29233
0.5, 0.857143, 0.974955
0.5, 0.877551, 0.72435
0.5, 0.897959, 0.528013
0.5, 0.918367, 0.374588
0.5, 0.938776, 0.25386
0.5, 0.959184, 0.156645
0.5, 0.979592, 0.0746058
0.5, 1, 0
0.6, 0, 0
0.6, 0.0204082, 4.45098
0.6, 0.0408163, 8.83491
0.6, 0.0612245, 13.0868
0.6, 0.0816327, 17.1455
0.6, 0.102041, 20.9555
0.6, 0.122449, 24.4684
0.6, 0.142857, 27.6433
0.6, 0.163265, 30.4479
0.6, 0.183673, 32.8585
0.6, 0.204082, 34.8595
0.6, 0.22449, 36.4434
0.6, 0.244898, 37.6097
0.6, 0.265306, 38.3646
0.6, 0.285714, 38.7199
0.6, 0.306122, 38.6925
0.6, 0.326531, 38.3036
0.6, 0.346939, 37.5784
0.6, 0.367347, 36.5457
0.6, 0.387755, 35.2371
0.6, 0.408163, 33.6869
0.6, 0.428571, 31.9317
0.6, 0.44898, 30.0097
0.6, 0.469388, 27.9603
0.6, 0.489796, 25.8231
0.6, 0.510204, 23.6373
0.6, 0.530612, 21.4408
0.6, 0.55102, 19.2692
0.6, 0.571429, 17.1548
0.6, 0.591837, 15.1263
0.6, 0.612245, 13.2078
0.6, 0.632653, 11.4183
0.6, 0.653061, 9.77182
0.6, 0.673469, 8.27725
0.6, 0.693878, 6.93855
0.6, 0.714286, 5.75521
0.6, 0.734694, 4.72284
0.6, 0.755102, 3.83382
0.6, 0.77551, 3.07807
0.6, 0.795918, 2.44371
0.6, 0.816327, 1.9178
0.6, 0.836735, 1.48697
0.6, 0.857143, 1.13788
0.6, 0.877551, 0.85764
0.6, 0.897959, 0.634069
0.6, 0.918367, 0.455858
0.6, 0.938776, 0.312591
0.6, 0.959184, 0.194693
0.6, 0.979592, 0.0932885
0.6, 1, 0
0.7, 0, 0
0.7, 0.0204082, 4.29552
0.7, 0.0408163, 8.52852
0.7, 0.0612245, 12.6383
0.7, 0.0816327, 16.5674
0.7, 0.102041, 20.2635
0.7, 0.122449, 23.6801
0.7, 0.142857, 26.7779
0.7, 0.163265, 29.5249
0.7, 0.183673, 31.8972
0.7, 0.204082, 33.8783
0.7, 0.22449, 35.4593
0.7, 0.244898, 36.6383
0.7, 0.265306, 37.4197
0.7, 0.285714, 37.8138
0.7, 0.306122, 37.8359
